dataset,rung,model,split,train_rate,seed,auprc,auroc,best_f1,n_train,n_test,n_feats,wall_s
amazon,a,xgboost,random,0.1,1,0.8845855535558065,0.9741509726012794,0.8667211774325428,864,6911,25,0.82
amazon,aL,lightgbm,random,0.1,1,0.9087117714424993,0.9757611445265593,0.8670427074939564,864,6911,29,2.45
amazon,aL,xgboost,random,0.1,1,0.9092808602173271,0.9731708996957319,0.8594771241830066,864,6911,29,0.74
amazon,b0,lightgbm,random,0.1,1,0.8999801446755954,0.9727171261838389,0.8625893566322479,864,6911,104,2.62
amazon,b0,xgboost,random,0.1,1,0.8930545939435297,0.9717708824647507,0.8691437802907915,864,6911,104,0.7
amazon,b,lightgbm,random,0.1,1,0.8964406921135692,0.9725718310448739,0.8633791430881164,864,6911,108,2.65
amazon,b,xgboost,random,0.1,1,0.8955261908790232,0.9711871464667483,0.8708367181153535,864,6911,108,0.7
amazon,a,lightgbm,random,0.1,2,0.8912993957547977,0.972923386871063,0.8397185301016419,864,6911,25,3.17
amazon,a,xgboost,random,0.1,2,0.8944442463503074,0.9775015223133906,0.8288288288288289,864,6911,25,0.9
amazon,aL,lightgbm,random,0.1,2,0.9044894116827081,0.9735757547437525,0.8575827559661279,864,6911,29,2.69
amazon,aL,xgboost,random,0.1,2,0.9008004780546602,0.9755647405447423,0.859554873369148,864,6911,29,0.78
amazon,b0,lightgbm,random,0.1,2,0.9110585254692779,0.9789594628996041,0.835820895522388,864,6911,104,3.03
amazon,b0,xgboost,random,0.1,2,0.9170861693580147,0.980326746133616,0.8466557911908646,864,6911,104,0.76
amazon,b,lightgbm,random,0.1,2,0.909782413155614,0.9788253630309781,0.8408225437928409,864,6911,108,2.99
amazon,b,xgboost,random,0.1,2,0.9164898950159045,0.980110872116427,0.8573680063041765,864,6911,108,0.74
amazon,a,lightgbm,random,0.1,3,0.9009310822481893,0.9692259054661636,0.8525896414342629,864,6911,25,3.08
amazon,a,xgboost,random,0.1,3,0.8975997132542353,0.9686132077905452,0.8539682539682539,864,6911,25,0.89
amazon,aL,lightgbm,random,0.1,3,0.9083868011898628,0.9739892496199691,0.8664031620553359,864,6911,29,2.92
amazon,aL,xgboost,random,0.1,3,0.9052121953382932,0.971167676431376,0.8610441767068272,864,6911,29,0.81
amazon,b0,lightgbm,random,0.1,3,0.9097246508094196,0.9775150296504301,0.8615136876006442,864,6911,104,2.92
amazon,b0,xgboost,random,0.1,3,0.9180694767532817,0.9808862662751242,0.8536782538399353,864,6911,104,0.72
amazon,b,lightgbm,random,0.1,3,0.9137084504441255,0.9779725754816764,0.8564356435643564,864,6911,108,2.93
amazon,b,xgboost,random,0.1,3,0.9168243728825374,0.9795018250724407,0.8564814814814815,864,6911,108,0.73
amazon,a,lightgbm,random,0.1,4,0.8915298920698871,0.9689108559562976,0.8603896103896104,864,6911,25,2.8
amazon,a,xgboost,random,0.1,4,0.8955433845946369,0.9691225925909701,0.8669871794871795,864,6911,25,0.82
